ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Meta: produkt_maengde","Meta: _produkt_maengde","Meta: produkt_beskrivelse","Meta: _produkt_beskrivelse","Meta: oprindelsesland","Meta: _oprindelsesland","Meta: naeringsindhold","Meta: _naeringsindhold","Meta: ingredienser","Meta: _ingredienser"
170,simple,,,"Blamusling No.1",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,42,"Fisk & Skaldyr > Muslinger & skaldyr",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Blamusling-No.-1.jpg,,,,,,,,,0,Fangst,"110 g",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
184,simple,,,"Blåmusling No. 2",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,42,"Fisk & Skaldyr > Muslinger & skaldyr",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Blamusling-No.-2.jpg,,,,,,,,,0,Fangst,"100 g",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
185,simple,,,"Brisling No. 1",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,39,"Fisk & Skaldyr > Fisk",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Brisling-No.-1.jpg,,,,,,,,,0,Fangst,"100 g",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
186,simple,,,"Brisling No. 2",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,39,"Fisk & Skaldyr > Fisk",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Brisling-No.-2.jpg,,,,,,,,,0,Fangst,"100 g",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
187,simple,,,"Brisling No. 4",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,39,"Fisk & Skaldyr > Fisk",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Brisling-No.-4.jpg,,,,,,,,,0,Fangst,"100 g",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
188,simple,,,"Færøsk laks No. 1",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,49,"Fisk & Skaldyr > Fisk",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Faerosk-laks-No.-1.jpg,,,,,,,,,0,Fangst,"100 g",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
190,simple,,,"Færøsk laks No. 2",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,49,"Fisk & Skaldyr > Fisk",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Faerosk-laks-No.-2.jpg,,,,,,,,,0,Fangst,"110 g",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
191,simple,,,"Færøsk laks No. 3",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,49,"Fisk & Skaldyr > Fisk",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Faerosk-laks-No.-3.jpg,,,,,,,,,0,Fangst,"110 g",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
192,simple,,,Hjertemusling,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,57,"Fisk & Skaldyr > Muslinger & skaldyr",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Hjertemusling.jpg,,,,,,,,,0,Fangst,"110 g",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
193,simple,,,"Regnbue ørred",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,49,"Fisk & Skaldyr > Fisk",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Regnbue-orred.jpg,,,,,,,,,0,Fangst,"110 g",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
